	tool	gfa_id	msa	obj_function	penalization	min_len	len_graph	n_nodes	n_edges
0	pangeblocks	slpa-basis	mafft.op1.53-ep0	nodes	0	0	5216	3115	5141
1	pangeblocks	slpa-real	mafft.op1.53-ep0	nodes	0	0	5102	1201	1806
2	pangeblocks	slpa-simu	mafft.op1.53-ep0	nodes	0	0	5730	1981	3232
3	pangeblocks	coli27-86	mafft.op1.53-ep0	nodes	0	0	4238	2186	2986
4	pangeblocks	coli27-86	mafft.op1.53-ep0	strings	0	0	4235	2205	3015
5	pangeblocks	slpa-basis	mafft.op1.53-ep0	strings	0	0	5006	3406	5569
6	pangeblocks	slpa-real	mafft.op1.53-ep0	strings	0	0	4843	1949	3095
7	pangeblocks	slpa-simu	mafft.op1.53-ep0	strings	0	0	5368	2795	4617
8	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	5	10	5102	1201	1806
9	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	5	10	5735	1981	3233
10	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	5	10	4238	2186	2986
11	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	5	10	5210	3115	5143
12	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	5	3	4238	2186	2986
13	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	5	3	5236	3115	5145
14	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	5	3	5775	1983	3236
15	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	5	3	5111	1202	1808
16	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	7	10	4238	2186	2986
17	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	7	10	5210	3115	5143
18	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	7	10	5102	1201	1806
19	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	7	10	5735	1981	3233
20	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	7	5	4238	2186	2986
21	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	7	5	5211	3115	5143
22	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	7	5	5122	1203	1810
23	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	7	5	5761	1983	3236
24	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	3	10	5102	1201	1806
25	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	3	10	5210	3115	5143
26	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	3	10	5735	1981	3233
27	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	3	10	4238	2186	2986
28	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	3	3	4238	2186	2986
29	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	3	3	5236	3115	5145
30	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	3	3	5776	1983	3236
31	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	3	3	5111	1202	1808
32	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	5	5	5211	3115	5143
33	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	5	5	4238	2186	2986
34	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	5	5	5122	1203	1810
35	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	5	5	5761	1983	3236
36	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	7	3	5236	3115	5145
37	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	7	3	4238	2186	2986
38	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	7	3	5111	1202	1808
39	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	7	3	5775	1983	3236
40	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	3	5	5103	1201	1807
41	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	3	5	5749	1981	3232
42	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	3	5	5211	3115	5143
43	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	3	5	4238	2186	2986
44	pangeblocks	slpa-simu	mafft.op3-ep0	nodes	0	0	5462	2130	3478
45	pangeblocks	slpa-real	mafft.op3-ep0	nodes	0	0	4503	923	1310
46	pangeblocks	slpa-basis	mafft.op3-ep0	nodes	0	0	5718	2292	3652
47	pangeblocks	coli27-86	mafft.op3-ep0	nodes	0	0	4238	2186	2986
48	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	5	5	5718	2292	3652
49	pangeblocks	slpa-real	mafft.op3-ep0	weighted	5	5	4519	925	1313
50	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	5	5	5498	2133	3484
51	pangeblocks	coli27-86	mafft.op3-ep0	weighted	5	5	4238	2186	2986
52	pangeblocks	coli27-86	mafft.op3-ep0	weighted	7	3	4238	2186	2986
53	pangeblocks	slpa-real	mafft.op3-ep0	weighted	7	3	4514	924	1311
54	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	7	3	5519	2135	3488
55	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	7	3	5725	2292	3649
56	pangeblocks	coli27-86	mafft.op3-ep0	weighted	3	5	4238	2186	2986
57	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	3	5	5718	2292	3652
58	pangeblocks	slpa-real	mafft.op3-ep0	weighted	3	5	4519	925	1313
59	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	3	5	5481	2131	3480
60	pangeblocks	coli27-86	mafft.op3-ep0	weighted	5	3	4238	2186	2986
61	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	5	3	5519	2135	3488
62	pangeblocks	slpa-real	mafft.op3-ep0	weighted	5	3	4514	924	1311
63	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	5	3	5725	2292	3649
64	pangeblocks	coli27-86	mafft.op3-ep0	weighted	7	5	4238	2186	2986
65	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	7	5	5718	2292	3652
66	pangeblocks	slpa-real	mafft.op3-ep0	weighted	7	5	4519	925	1313
67	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	7	5	5498	2133	3484
68	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	7	10	5465	2130	3483
69	pangeblocks	slpa-real	mafft.op3-ep0	weighted	7	10	4503	923	1310
70	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	7	10	5710	2292	3653
71	pangeblocks	coli27-86	mafft.op3-ep0	weighted	7	10	4238	2186	2986
72	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	5	10	5710	2292	3653
73	pangeblocks	slpa-real	mafft.op3-ep0	weighted	5	10	4503	923	1310
74	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	5	10	5465	2130	3483
75	pangeblocks	coli27-86	mafft.op3-ep0	weighted	5	10	4238	2186	2986
76	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	3	10	5710	2292	3653
77	pangeblocks	coli27-86	mafft.op3-ep0	weighted	3	10	4238	2186	2986
78	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	3	10	5465	2130	3483
79	pangeblocks	slpa-real	mafft.op3-ep0	weighted	3	10	4503	923	1310
80	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	3	3	5725	2292	3649
81	pangeblocks	coli27-86	mafft.op3-ep0	weighted	3	3	4238	2186	2986
82	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	3	3	5519	2135	3486
83	pangeblocks	slpa-real	mafft.op3-ep0	weighted	3	3	4514	924	1311
84	pangeblocks	slpa-real	mafft.op3-ep0	strings	0	0	4353	1473	2217
85	pangeblocks	slpa-simu	mafft.op3-ep0	strings	0	0	5097	2582	4161
86	pangeblocks	slpa-basis	mafft.op3-ep0	strings	0	0	5238	3764	6273
87	pangeblocks	coli27-86	mafft.op3-ep0	strings	0	0	4235	2199	3005
88	pangeblocks	coli27-86	mafft.op5-ep0	strings	0	0	4235	2193	2997
89	pangeblocks	slpa-basis	mafft.op5-ep0	strings	0	0	5272	4027	6869
90	pangeblocks	slpa-real	mafft.op5-ep0	strings	0	0	4660	1462	2202
91	pangeblocks	slpa-simu	mafft.op5-ep0	strings	0	0	5303	2722	4430
92	pangeblocks	slpa-real	mafft.op5-ep0	weighted	3	5	4827	936	1329
93	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	3	5	5668	2257	3709
94	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	3	5	5501	3794	6544
95	pangeblocks	coli27-86	mafft.op5-ep0	weighted	3	5	4238	2186	2986
96	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	7	3	5724	2262	3724
97	pangeblocks	slpa-real	mafft.op5-ep0	weighted	7	3	4843	937	1329
98	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	7	3	5516	3796	6541
99	pangeblocks	coli27-86	mafft.op5-ep0	weighted	7	3	4238	2186	2986
100	pangeblocks	coli27-86	mafft.op5-ep0	weighted	5	5	4238	2186	2986
101	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	5	5	5501	3794	6544
102	pangeblocks	slpa-real	mafft.op5-ep0	weighted	5	5	4852	938	1332
103	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	5	5	5676	2257	3709
104	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	3	3	5712	2259	3718
105	pangeblocks	slpa-real	mafft.op5-ep0	weighted	3	3	4843	937	1329
106	pangeblocks	coli27-86	mafft.op5-ep0	weighted	3	3	4238	2186	2986
107	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	3	3	5516	3796	6541
108	pangeblocks	coli27-86	mafft.op5-ep0	weighted	5	10	4238	2186	2986
109	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	5	10	5504	3794	6543
110	pangeblocks	slpa-real	mafft.op5-ep0	weighted	5	10	4827	936	1329
111	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	5	10	5628	2254	3708
112	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	7	5	5501	3794	6544
113	pangeblocks	coli27-86	mafft.op5-ep0	weighted	7	5	4238	2186	2986
114	pangeblocks	slpa-real	mafft.op5-ep0	weighted	7	5	4852	938	1332
115	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	7	5	5676	2257	3709
116	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	7	10	5504	3794	6543
117	pangeblocks	coli27-86	mafft.op5-ep0	weighted	7	10	4238	2186	2986
118	pangeblocks	slpa-real	mafft.op5-ep0	weighted	7	10	4827	936	1329
119	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	7	10	5628	2254	3708
120	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	5	3	5724	2262	3724
121	pangeblocks	slpa-real	mafft.op5-ep0	weighted	5	3	4843	937	1329
122	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	5	3	5516	3796	6541
123	pangeblocks	coli27-86	mafft.op5-ep0	weighted	5	3	4238	2186	2986
124	pangeblocks	coli27-86	mafft.op5-ep0	weighted	3	10	4238	2186	2986
125	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	3	10	5504	3794	6543
126	pangeblocks	slpa-real	mafft.op5-ep0	weighted	3	10	4827	936	1329
127	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	3	10	5628	2254	3708
128	pangeblocks	slpa-real	mafft.op5-ep0	nodes	0	0	4827	936	1329
129	pangeblocks	slpa-simu	mafft.op5-ep0	nodes	0	0	5609	2254	3705
130	pangeblocks	slpa-basis	mafft.op5-ep0	nodes	0	0	5496	3794	6542
131	pangeblocks	coli27-86	mafft.op5-ep0	nodes	0	0	4238	2186	2986
132	PanPA	slpa-simu	mafft.op1.53-ep0	strings	0	0	7255	6331	11188
133	PanPA	slpa-real	mafft.op1.53-ep0	strings	0	0	5726	4992	8703
134	PanPA	coli27-86	mafft.op1.53-ep0	strings	0	0	4246	2254	3092
135	PanPA	slpa-basis	mafft.op1.53-ep0	strings	0	0	5487	4649	7714
136	PanPA	slpa-basis	mafft.op3-ep0	strings	0	0	5507	4659	7816
137	PanPA	coli27-86	mafft.op3-ep0	strings	0	0	4246	2254	3092
138	PanPA	slpa-simu	mafft.op3-ep0	strings	0	0	6926	6087	10832
139	PanPA	slpa-real	mafft.op3-ep0	strings	0	0	5681	4990	8852
140	PanPA	coli27-86	mafft.op5-ep0	strings	0	0	4246	2254	3092
141	PanPA	slpa-basis	mafft.op5-ep0	strings	0	0	5433	4678	7985
142	PanPA	slpa-simu	mafft.op5-ep0	strings	0	0	6952	6123	11129
143	PanPA	slpa-real	mafft.op5-ep0	strings	0	0	5634	4952	8826
144	makeprg	slpa-basis	mafft.op1.53-ep0	makeprg	0	0	23002	121	182
145	makeprg	coli27-86	mafft.op1.53-ep0	makeprg	0	0	13926	869	1371
146	makeprg	slpa-real	mafft.op1.53-ep0	makeprg	0	0	26925	1030	1420
147	makeprg	slpa-simu	mafft.op1.53-ep0	makeprg	0	0	63596	2248	3211
148	makeprg	slpa-simu	mafft.op3-ep0	makeprg	0	0	63885	2213	3163
149	makeprg	slpa-real	mafft.op3-ep0	makeprg	0	0	27152	985	1361
150	makeprg	coli27-86	mafft.op3-ep0	makeprg	0	0	13926	869	1371
151	makeprg	slpa-basis	mafft.op3-ep0	makeprg	0	0	22942	123	187
152	makeprg	coli27-86	mafft.op5-ep0	makeprg	0	0	13926	869	1371
153	makeprg	slpa-basis	mafft.op5-ep0	makeprg	0	0	22987	117	177
154	makeprg	slpa-real	mafft.op5-ep0	makeprg	0	0	26886	1019	1406
155	makeprg	slpa-simu	mafft.op5-ep0	makeprg	0	0	63711	2247	3209
156	pggb	slpa-basis	wfmash	pggb	0	0	19839	835	1157
157	pggb	coli27-86	wfmash	pggb	0	0	18498	2553	3446
158	pggb	slpa-simu	wfmash	pggb	0	0	64020	2042	2703
159	pggb	slpa-real	wfmash	pggb	0	0	31169	1597	2136
